iter	Passed	Remaining
0	0	48
1	1	45
2	2	42
3	3	41
4	4	39
5	5	39
6	6	38
7	7	37
8	8	36
9	8	35
10	9	34
11	10	33
12	11	32
13	12	31
14	13	30
15	14	30
16	14	28
17	15	28
18	16	27
19	17	26
20	18	25
21	19	24
22	19	23
23	20	22
24	21	21
25	22	20
26	23	19
27	24	18
28	24	17
29	25	17
30	26	16
31	27	15
32	28	14
33	29	13
34	30	12
35	30	11
36	31	11
37	32	10
38	33	9
39	34	8
40	34	7
41	35	6
42	36	5
43	37	5
44	37	4
45	38	3
46	39	2
47	40	1
48	41	0
49	42	0
