iter	Logloss
0	0.6842507874
1	0.6764747848
2	0.6687687674
3	0.6616531039
4	0.6553789335
5	0.6480523102
6	0.6407922759
7	0.6335885788
8	0.6260718202
9	0.6196619882
10	0.6122824672
11	0.6053983555
12	0.5982418506
13	0.5916669193
14	0.5851692747
15	0.5794288506
16	0.5748938329
17	0.5692189224
18	0.5630721681
19	0.556780596
20	0.5508376164
21	0.5445498277
22	0.5383713042
23	0.5318721824
24	0.5256935218
25	0.520368926
26	0.5151783543
27	0.5101684784
28	0.5045737612
29	0.4998228583
30	0.4946652989
31	0.4896989356
32	0.4846903387
33	0.4798608775
34	0.4750451756
35	0.4698261028
36	0.464621975
37	0.4600344798
38	0.4554727332
39	0.4510158516
40	0.446525123
41	0.4414135446
42	0.4369270197
43	0.4318788909
44	0.4276347658
45	0.4235698372
46	0.4195559204
47	0.4156660871
48	0.4106913887
49	0.4070152164
50	0.4041176358
51	0.3993097191
52	0.3952517003
53	0.3919312279
54	0.3882858022
55	0.3843537564
56	0.3802640066
57	0.376904422
58	0.3733280098
59	0.3692673978
60	0.3659345378
61	0.3623408554
62	0.3594209378
63	0.3558635554
64	0.3518290614
65	0.3490004383
66	0.34623816
67	0.3433648528
68	0.3409210656
69	0.3372502639
70	0.3333570831
71	0.3300470331
72	0.3270211169
73	0.3237518481
74	0.3205406177
75	0.317758114
76	0.3150643517
77	0.3119563406
78	0.3085307614
79	0.3063085523
80	0.3035028514
81	0.3007946155
82	0.2981851527
83	0.2958212944
84	0.2934828241
85	0.2910780063
86	0.288507653
87	0.2858884222
88	0.2835062793
89	0.280432769
90	0.2780202787
91	0.2753375839
92	0.2730566388
93	0.2708229327
94	0.2682159016
95	0.2659874231
96	0.2642180906
97	0.2620516897
98	0.2599083792
99	0.2576890412
100	0.2558529905
101	0.2536102101
102	0.2512941726
103	0.2491306388
104	0.2474570894
105	0.245159291
106	0.2432454767
107	0.241403071
108	0.2395467302
109	0.2378161703
110	0.2359773759
111	0.2342999136
112	0.2329448193
113	0.2312465065
114	0.2295816052
115	0.2280690801
116	0.2262606768
117	0.2246302288
118	0.2230693504
119	0.220954947
120	0.2194955268
121	0.2178212592
122	0.216230065
123	0.2145045582
124	0.2128654402
125	0.2114235354
126	0.2100966461
127	0.2083635152
128	0.206745016
129	0.2053634897
130	0.204091641
131	0.2031051596
132	0.2019126056
133	0.2004690592
134	0.1990829818
135	0.1980427568
136	0.1970840509
137	0.1958306782
138	0.1942901734
139	0.1929161268
140	0.191660766
141	0.1905049777
142	0.1892094567
143	0.1880766583
144	0.1864965192
145	0.1851127427
146	0.1842089623
147	0.1831417074
148	0.1818640789
149	0.1803989699
150	0.1792844046
151	0.1780565473
152	0.1767912896
153	0.1757947287
154	0.174735624
155	0.1735748068
156	0.1723604107
157	0.1716677248
158	0.1706585641
159	0.1694536078
160	0.1684367766
161	0.1672114879
162	0.1663592758
163	0.1654627444
164	0.1644266253
165	0.1634796015
166	0.162218193
167	0.160614656
168	0.1595802187
169	0.1585990049
170	0.1577444547
171	0.1569441233
172	0.1559551094
173	0.1550676315
174	0.1543802512
175	0.1533634643
176	0.1526196632
177	0.1514731927
178	0.1507271306
179	0.1501848354
180	0.149346501
181	0.1484085057
182	0.147662208
183	0.1468134805
184	0.1459552356
185	0.1452044638
186	0.1443422829
187	0.1435034337
188	0.1426334861
189	0.141886972
190	0.141238144
191	0.1404539171
192	0.1395615082
193	0.1387488703
194	0.1381677195
195	0.137283744
196	0.1367832921
197	0.1357649716
198	0.1350997945
199	0.1342993671
200	0.1335807098
201	0.1328378242
202	0.1321483721
203	0.1312175526
204	0.13027454
205	0.1292671853
206	0.1287394281
207	0.1281694971
208	0.127589631
209	0.1269888901
210	0.1263976305
211	0.1256454685
212	0.1250954418
213	0.1244712428
214	0.1237219862
215	0.1229517504
216	0.1219102428
217	0.1212177093
218	0.1204215217
219	0.1196226862
220	0.1190191248
221	0.118411253
222	0.1177352836
223	0.1170952793
224	0.116405177
225	0.1158629037
226	0.1153580541
227	0.1148170384
228	0.1144038811
229	0.1137912496
230	0.1133440126
231	0.1128988623
232	0.1122338756
233	0.111552254
234	0.111136864
235	0.1107961081
236	0.1103751549
237	0.109784685
238	0.1090506014
239	0.1085077672
240	0.1079798996
241	0.1072442178
242	0.1068304356
243	0.1060823179
244	0.1055265091
245	0.1049933031
246	0.1046446646
247	0.1042747146
248	0.1039096119
249	0.103277973
250	0.1028342217
251	0.1024427438
252	0.1020508309
253	0.1016714659
254	0.1012545084
255	0.1006930454
256	0.1003245141
257	0.09969766394
