iter	Passed	Remaining
0	1	60
1	2	59
2	3	56
3	4	54
4	5	52
5	6	50
6	7	48
7	8	46
8	9	44
9	10	43
10	12	42
11	13	41
12	14	41
13	15	39
14	16	38
15	17	37
16	18	35
17	19	34
18	20	33
19	21	31
20	22	30
21	23	29
22	24	28
23	25	27
24	26	26
25	27	25
26	28	24
27	29	23
28	30	22
29	31	21
30	32	19
31	33	18
32	34	17
33	35	16
34	36	15
35	37	14
36	38	13
37	39	12
38	40	11
39	41	10
40	41	9
41	42	8
42	43	7
43	44	6
44	45	5
45	46	4
46	47	3
47	49	2
48	50	1
49	51	0
